iter	Passed	Remaining
0	145	145210
1	146	73328
2	148	49233
3	149	37140
4	150	29891
5	151	25056
6	152	21629
7	153	19048
8	154	17058
9	156	15474
10	157	14200
11	159	13123
12	160	12184
13	161	11376
14	162	10679
15	163	10065
16	164	9523
17	165	9043
18	167	8627
19	168	8246
20	169	7908
21	172	7656
22	173	7388
23	175	7134
24	176	6896
25	177	6665
26	179	6451
27	180	6252
28	181	6065
29	182	5891
30	183	5732
31	184	5579
32	185	5446
33	188	5341
34	189	5222
35	190	5110
36	192	4999
37	193	4893
38	194	4789
39	195	4694
40	196	4606
41	198	4521
42	199	4436
43	200	4353
44	201	4280
45	203	4213
46	204	4153
47	206	4095
48	207	4032
49	208	3970
50	210	3907
51	211	3848
52	212	3794
53	213	3745
54	215	3695
55	216	3650
56	218	3608
57	219	3563
58	220	3518
59	221	3473
60	222	3430
61	223	3388
62	225	3348
63	226	3310
64	227	3274
65	228	3238
66	229	3202
67	231	3169
68	232	3138
69	234	3109
70	235	3079
71	236	3049
72	237	3020
73	239	2992
74	240	2966
75	241	2939
76	242	2912
77	244	2887
78	245	2862
79	246	2839
80	248	2816
81	249	2791
82	250	2763
83	251	2739
84	252	2715
85	253	2694
86	254	2673
87	255	2652
88	257	2631
89	258	2610
90	259	2589
91	260	2571
92	261	2554
93	263	2535
94	264	2518
95	265	2499
96	266	2481
97	267	2464
98	268	2447
99	270	2430
100	271	2415
101	272	2401
102	273	2385
103	275	2369
104	276	2356
105	277	2342
106	278	2327
107	279	2311
108	281	2297
109	282	2283
110	283	2270
111	284	2258
112	286	2245
113	287	2231
114	288	2219
115	289	2206
116	290	2194
117	292	2184
118	293	2175
119	295	2164
120	296	2154
121	297	2141
122	298	2131
123	300	2120
124	301	2110
125	302	2099
126	303	2086
127	304	2077
128	306	2067
129	307	2058
130	308	2048
131	309	2038
132	311	2027
133	312	2018
134	313	2008
135	314	1999
136	315	1990
137	317	1981
138	318	1973
139	319	1964
140	321	1958
141	322	1947
142	323	1939
143	324	1931
144	326	1925
145	328	1920
146	330	1917
147	331	1910
148	333	1902
149	334	1893
150	335	1885
151	337	1881
152	339	1877
153	340	1870
154	341	1863
155	343	1856
156	344	1848
157	345	1840
158	346	1833
159	347	1826
160	348	1816
161	350	1810
162	351	1805
163	353	1799
164	354	1792
165	355	1785
166	356	1778
167	357	1771
168	358	1764
169	360	1758
170	361	1752
171	362	1746
172	364	1742
173	365	1736
174	366	1730
175	368	1723
176	369	1717
177	370	1710
178	371	1705
179	373	1700
180	374	1693
181	375	1687
182	376	1681
183	377	1675
184	378	1669
185	380	1664
186	381	1660
187	383	1655
188	384	1650
189	386	1645
190	387	1639
191	388	1633
192	389	1627
193	390	1623
194	392	1618
195	393	1614
196	395	1610
197	396	1606
198	397	1601
199	399	1597
200	400	1593
201	402	1589
202	403	1584
203	404	1579
204	406	1574
205	407	1569
206	408	1564
